CD_SETOR,SITUACAO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,v0001,v0002,v0003,v0004,v0005,v0006,v0007
"3,30391E+14",Urbana,"0,1058112",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,253,126,126,0,"2,7","0,0753",93
"3,30391E+14",Urbana,"0,0904839",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,601,256,256,0,"2,5","0,097",237
"3,30391E+14",Urbana,"2,6519007",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,254,214,214,0,"2,4","0,0094",106
"3,30391E+14",Urbana,"0,8107984",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,1038,433,433,0,"2,7","0,0052",384
"3,30391E+14",Urbana,"0,7875419",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,221,224,224,0,"2,6","0,1548",84
"3,30391E+14",Rural,"5,0674444",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,44,24,24,0,"3,4","0,1538",13
"3,30391E+14",Urbana,"1,2234758",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,342,289,289,0,"2,3","0,1419",148
"3,30391E+14",Urbana,"0,4972842",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,316,135,135,0,"2,7","0,1826",115
"3,30391E+14",Urbana,"0,4753201",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,170,124,124,0,"2,7",0,63
"3,30391E+14",Urbana,"0,2484048",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,108,54,54,0,"2,1","0,2745",51
"3,30391E+14",Urbana,"0,1456947",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,108,58,58,0,"2,8","0,0256",39
"3,30391E+14",Urbana,"0,0995163",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,521,232,232,0,"2,6","0,0846",201
"3,30391E+14",Urbana,"0,4333319",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"3,2688013",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,685,411,410,1,"2,7","0,0921",239
"3,30391E+14",Rural,"8,2662791",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"1,0078809",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,43,63,63,0,"2,7","0,0625",16
"3,30391E+14",Urbana,"0,2850907",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,179,103,103,0,"2,6","0,0571",70
"3,30391E+14",Urbana,"1,758782",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,278,189,189,0,"2,8","0,25",100
"3,30391E+14",Urbana,"6,6455763",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,231,197,197,0,"2,4","0,3579",95
"3,30391E+14",Rural,"8,848886",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,76,35,35,0,"2,2","0,3235",34
"3,30391E+14",Urbana,"0,2774532",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,20,9,9,0,"2,5",0,8
"3,30391E+14",Urbana,"0,016992",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,93,111,111,0,"2,6","0,0556",36
"3,30391E+14",Urbana,"0,0082213",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,143,112,112,0,"2,5","0,1379",58
"3,30391E+14",Urbana,"0,0137317",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,183,113,113,0,"2,5","0,0278",72
"3,30391E+14",Urbana,"0,0281952",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,116,112,112,0,"2,5","0,0213",47
