dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
"Horn Concerto No. 1 in D Major, K. 412 (arr. C. Lindberg): II. Rondo: Allegro",Christian Lindberg,spotify:track:5eO7l76dcs1Xz5qulQzG1G,0.616,0.12,2,"-21,464",1,"0,0411","0,984","0,858","0,35","0,508","122,807",231200,3,"28,2536",11,0,6
"Horn Concerto No. 3 in E-Flat Major, K. 447 (arr. C. Lindberg): III. Allegro",Christian Lindberg,spotify:track:6PUIjv8nKQBCoyygmCEYK5,0.567,0.342,3,"-19,092",1,"0,047","0,989","0,915","0,115","0,534","97,955",221307,4,"70,26453",7,0,6
House Of Broken Love,Great White,spotify:track:0tFscEe2fMwsHflVPsyaAD,0.581,0.468,9,"-15,763",0,"0,0314","0,0251","0,0845","0,0831","0,49","116,04",358427,3,"23,19227",20,1,6
How Do You Talk To An Angel,The Heights,spotify:track:2QVHmiFTjFsHyxONRdbkcq,0.404,0.51,9,"-11,353",1,"0,0321","0,281","6,32E-06","0,0789","0,526","80,643",227267,4,"45,6229",13,1,6
Human Wheels,John Mellencamp,spotify:track:7kozzDmfiSL3g3COR5m0ZB,0.554,0.917,6,"-4,692",0,"0,0358","0,00428","0,000672","0,286","0,923","149,672",334173,4,"65,35411",13,1,6
Huntington Ashram Monastery,Alice Coltrane,spotify:track:5mONFtMn8yHhOWGF5wwX2U,0.547,0.405,5,"-15,534",1,"0,05","0,764","7,34E-05","0,116","0,632","116,813",333307,4,"33,246",13,0,6
Hurricane,The Click,spotify:track:5qiDen4GXbcZixkS114QXw,0.824,0.48,0,"-6,745",0,"0,144","0,178",0,"0,167","0,724","88,029",261080,4,"24,82656",10,1,6
I,Taake,spotify:track:6ITdgxrJqxR8hiZx5cmpoI,0.0764,0.98,0,"-3,16",1,"0,0804","0,0995","0,782","0,413","0,0295","173,186",356467,3,"33,4058",15,0,6
I Adore Mi Amor,Color Me Badd,spotify:track:05R2lE5g9hnaSmxIrUl3C0,0.683,0.476,3,"-9,995",0,"0,027","0,243",0,"0,0786","0,725","91,989",289200,4,"31,03699",10,1,6
I Belong To You (Every Time I See Your Face),Rome,spotify:track:1nP6feYWJVpbO41aezFtm2,0.759,0.337,0,"-11,034",0,"0,035","0,026",0,"0,0753","0,335","117,845",273267,4,"37,19882",15,1,6
I Can´t Give You Anything but Love,Carl-Henrik Norin,spotify:track:1ghKW4YHp44mUn1U6xkA6N,0.558,0.132,8,"-13,563",1,"0,0547","0,821",0,"0,0819","0,428","120,058",180720,3,"63,23811",7,0,6
I Can't Dance,Genesis,spotify:track:0No5Hr1LxZjJHGsQSTy2bm,0.914,0.528,3,"-9,114",1,"0,0508","0,499","4,38E-06","0,0454","0,898","107,557",241360,4,"35,02997",10,1,6
I Can't Tell You Why,Brownstone,spotify:track:74oQkrFn64k3furu8GoBLr,0.476,0.453,11,"-13,593",0,"0,0306","0,27","0,000253","0,107","0,41","176,067",245992,4,"40,73803",9,1,6
I Cerchi,Claudio Rocchi,spotify:track:3CSnt3RH6eCkwXcnOjXDsV,0.264,0.219,0,"-21,588",1,"0,0346","0,798","0,361","0,115","0,31","165,446",224093,4,"42,88696",7,0,6
I Don't Believe in the Sun,The Magnetic Fields,spotify:track:24hSe8FngwwVnFiM8zgPO7,0.362,0.395,1,"-8,761",0,"0,0262","0,743","0,522","0,183","0,165","110,279",256453,3,"24,70347",10,0,6
I Don't Know,Michael Morales,spotify:track:6wKfivQMFI74aq6rxxSqtu,0.593,0.618,10,"-11,099",1,"0,034","0,46",0,"0,121","0,549","97,093",236840,4,"48,84664",12,1,6
I Don't Wanna Be Alone,Shai,spotify:track:3CfSvpuNeWbiM1vjZwWXRq,0.774,0.437,0,"-8,021",1,"0,0263","0,565",0,"0,0762","0,576","104,215",295467,3,"56,01881",14,1,6
I Don't Want To Miss A Thing,Aerosmith,spotify:track:225xvV8r1yKMHErSWivnow,0.383,0.662,2,"-5,162",1,"0,0333","0,165",0,"0,248","0,138","121,154",298760,4,"67,2913",12,1,6
I Feel You,Depeche Mode,spotify:track:1Ob57NqUydp5cC3FCNV4Gy,0.454,0.933,2,"-6,539",1,"0,0912","0,024","0,0421","0,493","0,141","122,909",276080,3,"20,35231",13,1,6
I Got The Hook Up!,Master P Featuring Sons Of Funk,spotify:track:3qEEoMccf3U90pM47dbQtX,0.608,0.704,11,"-5,655",0,"0,258","0,0447",0,"0,397","0,818","79,302",256013,4,"57,84832",10,1,6
I Had No Right,P.M. Dawn,spotify:track:0PtMec6kl6Hh4WP7lSdKLS,0.538,0.577,2,"-10,265",1,"0,029","0,368","3,36E-05","0,104","0,407","165,984",301760,4,"29,55038",16,1,6
"I Like It, I Love It",Tim McGraw,spotify:track:3IvcWWehbBcBR4YZxlGM9R,0.643,0.961,0,"-5,298",1,"0,0315","0,0196",0,"0,948","0,96","124,027",205707,4,"25,32835",9,1,6
I Love You/You Bring Me Joy,Mary J. Blige,spotify:track:2FzVFBdP14l3s8D97e8jov,0.771,0.672,11,"-9,281",0,"0,0527","0,33","0,000208","0,156","0,753","91,048",295893,4,"25,26834",12,1,6
I Luv U Baby,The Original,spotify:track:6J3LHclKrdg1zLArH3kmF4,0.69,0.838,8,"-6,392",1,"0,0329","0,106","8,9E-06","0,267","0,902","126,821",213000,4,"22,31218",14,1,6
I Missed The Bus,Kris Kross,spotify:track:793gh4IXh7mQsMBhvcJRlt,0.811,0.634,4,"-10,408",0,"0,0714","0,00469","0,00943","0,224","0,273","107,915",179160,4,"54,7873",9,1,6
I Need To Know,Marc Anthony,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,3,"-2,563",0,"0,0336","0,486","9,75E-06","0,112","0,792","115,061",227707,4,"31,46063",10,1,6
I Say A Little Prayer,Diana King,spotify:track:5nRBw0eIbbXWn5zCoSc5aL,0.69,0.889,4,"-5,074",0,"0,0595","0,00875","1,03E-05","0,0904","0,538","125,958",211533,4,"20,08507",11,1,6
I Tried Him & I Know Him,Rev. Milton Brunson,spotify:track:0AkfQEin0lXA3NXLLK90c9,0.224,0.306,1,"-14,442",1,"0,0391","0,62",0,"0,409","0,26","72,449",335932,4,"20,1323",17,0,6
I Wanna Kill,Demented Are Go,spotify:track:7fwOBgGbdQMbCb0oC04pXh,0.381,0.994,5,"-3,891",1,"0,215","0,00215","2,64E-06","0,0773","0,159","137,244",169867,4,"54,15225",8,0,6
I Wanna Rock,Luke,spotify:track:6BPA3Uzu6xDFTklgeWGqbD,0.801,0.765,6,"-11,968",0,"0,203","0,0399","8,35E-06","0,429","0,624","138,052",279933,4,"33,53978",14,1,6
I Want You,Shana,spotify:track:0sdtAStTSLikyTg9PTTyys,0.741,0.81,5,"-10,751",1,"0,0524","0,241","0,18","0,0921","0,827","119,629",305773,4,"33,34488",12,1,6
I Will Be Here For You,Michael W. Smith,spotify:track:3CO19cTl5zzlWx9GWEpOhD,0.425,0.519,9,"-9,707",1,"0,0279","0,185",0,"0,102","0,208","143,887",273773,4,"17,38842",12,1,6
I Will Go With You (Con Te Partiro),Donna Summer,spotify:track:433m5xRcVM3jFm3IuijkKs,0.566,0.864,6,"-6,045",0,"0,0629","0,118",0,"0,333","0,441","129,909",247933,4,"24,53054",10,1,6
I Will Remember You (Live),Sarah McLachlan,spotify:track:0xzDbdFFnPz9CiQ0YZMq4K,0.449,0.487,9,"-9,967",1,"0,031","0,47","0,000129","0,691","0,389","76,487",213467,4,"105,59304",6,1,6
I Wish,Skee-Lo,spotify:track:3LklW07tvdx2AHsgfi1Mng,0.669,0.809,7,"-7,146",1,"0,147","0,00137",0,"0,38","0,572","97,885",249293,4,"37,20123",9,1,6
I Wish It Would Rain Down,Phil Collins,spotify:track:4F2t297QK40XFcIHqkmLHs,0.51,0.667,8,"-4,715",1,"0,0294","0,292","0,00683","0,313","0,356","125,887",327747,4,"35,93928",12,1,6
I Wonder Where You Are Tonight,Tony Rice,spotify:track:0zJqD6t9MJUYDBLINU24w8,0.581,0.547,4,"-12,1",1,"0,0378","0,71","0,0168","0,352","0,888","118,675",193667,4,"16,10952",12,0,6
I'd Rather Eat Glass,Excuse 17,spotify:track:2OFYyAeFRiXZVGGxwgfLTx,0.26,0.974,2,"-5,945",1,"0,114","0,0168","9,5E-05","0,196","0,169","147,864",176133,4,"45,28364",10,0,6
If,Janet Jackson,spotify:track:0t414ewhjcIiuPVF3QECz2,0.653,0.976,11,"-5,173",0,"0,0797","0,0374","0,00173","0,561","0,447","105,575",271640,4,"65,28811",8,1,6
If I Ever Lose My Faith In You,Sting,spotify:track:05vL56xSoxthM0r7IfcQjo,0.575,0.727,2,"-9,539",1,"0,0281","0,00952","0,00754","0,054","0,504","97,995",270533,4,"52,52989",11,1,6
If I Had The Chance,Cynthia,spotify:track:2QBoFxIpS9kNTywWmqtK2g,0.617,0.918,6,"-5,017",0,"0,0371","0,00553","0,123","0,203","0,802","130,012",254933,4,"30,23068",11,1,6
If I Ruled The World,Nas,spotify:track:5PQmSHzWnlgG4EBuIqjac2,0.879,0.564,10,"-7,682",0,"0,247","0,0474","9,43E-06","0,0519","0,523","93,908",282373,4,"23,15403",14,1,6
If That's Your Boyfriend (He Wasn't Last Night),MeShell Ndegeocello,spotify:track:7vx3QnBgX1RpmMATFIiNA3,0.815,0.723,10,"-6,903",0,"0,126","0,0524","0,0068","0,0508","0,781","106,031",271813,4,"32,04893",12,1,6
If We Fall In Love Tonight,Rod Stewart,spotify:track:3yhHZaToQ3ZxN1A4GzByZR,0.677,0.572,1,"-11,266",1,"0,0388","0,505",0,"0,0732","0,455","87,913",340507,4,"44,67862",13,1,6
If Wishes Came True,Sweet Sensation,spotify:track:5gAdATsfINRIljv4LbrKX2,0.493,0.453,3,"-10,878",1,"0,0248","0,0944","0,00467","0,1","0,188","143,725",315160,4,"41,10892",14,1,6
Ijzeren Thijs,Rowwen Hèze,spotify:track:7vt6mOc6TnVD8HsKQ6Wl2q,0.437,0.868,2,"-4,809",1,"0,154","0,107",0,"0,109","0,718","138,24",167147,4,"25,47463",8,0,6
I'll Be Loving You,Collage,spotify:track:0HznAaWAq5FRLnLyKNf9Tv,0.62,0.868,11,"-6,805",0,"0,0528","0,00591",0,"0,248","0,339","133,97",228040,4,"45,68575",9,1,6
I'll Be There,Mariah Carey,spotify:track:5jI2ApByK8KJeWVU39oRO4,0.404,0.511,5,"-9,427",1,"0,0315","0,716",0,"0,871","0,279","82,025",264160,4,"89,54726",11,1,6
I'll Be There For You/This House Is Not A Home,The Rembrandts,spotify:track:1lfjTOtTRUDkzcmahA4lcs,0.258,0.919,9,"-6,927",1,"0,0809","0,065",0,"0,279","0,636","93,62",187293,4,"88,79369",5,1,6
I'll Never Break Your Heart,Backstreet Boys,spotify:track:4lq4yY0y3XqDQZsx03ITaH,0.519,0.589,7,"-6,005",0,"0,029","0,0885",0,"0,153","0,341","161,992",287507,3,"35,05052",8,1,6
I'll Think Of A Reason Later,Lee Ann Womack,spotify:track:7ygWc80Ao1nhcV2D6Q3zPa,0.594,0.833,3,"-5,543",1,"0,0358","0,0848","7,8E-05","0,311","0,663","142,035",218667,4,"32,55626",9,1,6
I'm Forrest... Forrest Gump,Alan Silvestri,spotify:track:1ijrMIqQvZNsnoqGukPzFD,0.402,0.046,5,"-22,779",1,"0,033","0,979","0,513","0,0771","0,0967","104,425",159667,4,"26,31638",9,0,6
I'm Free,Jon Secada,spotify:track:2UfAxAPFNHkpArkEhBbyd4,0.52,0.634,5,"-8,768",1,"0,0275","0,133",0,"0,29","0,478","197,315",240867,4,"27,63781",9,1,6
I'm From The Country,Tracy Byrd,spotify:track:5Lwc3DTWzX6JaW2x2PZezt,0.687,0.898,2,"-3,93",1,"0,042","0,206",0,"0,284","0,952","129,542",213973,4,"24,85798",11,1,6
I'm In Luv,Joe,spotify:track:2uIEOMwrqcZDJG55UHXxTP,0.736,0.822,11,"-6,142",0,"0,0317","0,023",0,"0,0615","0,735","99,654",228027,4,"29,30801",8,1,6
I'm So Happy I Can't Stop Crying,Sting,spotify:track:6uImoDq9R3ZfJOPXkLdyWo,0.646,0.775,3,"-3,001",1,"0,0285","0,272",0,"0,142","0,614","146,9",242560,4,"68,31115",9,1,6
I'm Still Waiting,Jodeci,spotify:track:2T12BleYYXpuWuT1zuXnfS,0.697,0.6,0,"-13,632",0,"0,0364","0,0894",0,"0,0549","0,793","127,009",261360,4,"21,45003",15,1,6
I'm Your Angel,R. Kelly & Celine Dion,spotify:track:0QWFiyhOqFu9RP8qzP6z5L,0.62,0.504,0,"-7,26",1,"0,0301","0,669",0,"0,11","0,266","112,681",332067,4,"40,28712",10,1,6
Images In Stone,Patrick O'Hearn,spotify:track:0ReGms8iLrj6dyHjkQSHpT,0.174,0.278,3,"-20,169",1,"0,0378","0,0402","0,795","0,101","0,0489","70,064",249533,3,"24,45184",14,0,6
Improvisation #2,NRG Ensemble,spotify:track:22qFvidlRGLutT0JkZq0rc,0.572,0.326,9,"-13,293",0,"0,256","0,806","0,231","0,527","0,297","69,443",159573,4,"101,12396",5,0,6
In Dulce Jubilo,Bugge Wesseltoft,spotify:track:7j2B1yYjSxVg9MGEQLIBqn,0.432,0.00555,7,"-30,164",1,"0,0648","0,994","0,952","0,0998","0,247","90,383",365907,4,"60,10183",17,0,6
In the Garden,Larry Stephenson,spotify:track:6MxqqLZRQ9R6KkE6VeBVpQ,0.539,0.475,11,"-13,211",1,"0,0298","0,41","0,00258","0,127","0,79","146,175",186307,4,"33,29978",12,0,6
In Your Arms,Little Caesar,spotify:track:12DQhZRVJk534inNswAwie,0.465,0.651,0,"-10,418",1,"0,0331","0,176",0,"0,0949","0,271","178,414",263813,4,"31,13024",10,1,6
Indian Outlaw,Tim McGraw,spotify:track:1fYypIR0kaFzaSRbzvtjl9,0.664,0.739,9,"-7,229",1,"0,0415","0,0364","4,99E-05","0,282","0,759","110,101",182120,4,"68,2224",8,1,6
Influência Do Jazz,Tamba Trio,spotify:track:2rJl0ohtsAtnfmYfe7EJkp,0.559,0.594,8,"-8,882",1,"0,031","0,669","0,798","0,102","0,89","110,644",146667,4,"18,26858",8,0,6
Innan Konsert,Rune Lindblad,spotify:track:3h50sZy3pEKv3Ox7q3B0yd,0.295,0.474,8,"-19,072",0,"0,0482","0,825","0,918","0,134","0,11","114,144",713600,3,"58,27581",38,0,6
Insensatez - Instrumental,Antônio Carlos Jobim,spotify:track:43loTpW3s094oRsIdJkoGM,0.565,0.192,4,"-19,539",0,"0,0304","0,566","0,594","0,0956","0,396","114,799",177400,4,"33,95748",11,0,6
Inside Of Me,Chapterhouse,spotify:track:3raJ2h75YmkZIBoKcRXqdx,0.116,0.927,9,"-7,918",1,"0,0608","0,0408","0,628","0,0688","0,481","84,036",278267,4,"42,80136",7,0,6
Inside Out,Eve 6,spotify:track:4GiVcDqNQI0fc0yYuRGH9m,0.483,0.818,11,"-7,666",1,"0,0444","0,114",0,"0,367","0,691","175,668",219467,4,"22,9639",8,1,6
Iris,John Coltrane,spotify:track:4NiKtErEz8AzMHw6XzXhbm,0.343,0.511,1,"-10,341",1,"0,144","0,45",0,"0,227","0,375","49,285",233267,3,"22,14151",10,0,6
Iris,The Goo Goo Dolls,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,0.315,0.715,11,"-8,072",0,"0,0362","0,00125","7,97E-06","0,0942","0,497","155,925",289533,3,"45,33362",14,0,6
It's A Party,Busta Rhymes Featuring Zhane,spotify:track:0Ml8PkxnlGUrrMPpJWPBc3,0.665,0.657,5,"-8,805",0,"0,274","0,0823",0,"0,176","0,786","178,033",277440,4,"45,75802",11,1,6
It's All About U,SWV,spotify:track:1ask6D7sAOBSqe9xNOPL8t,0.838,0.401,0,"-9,808",1,"0,0506","0,111","0,00811","0,0478","0,74","93,49",224800,4,"27,98746",11,1,6
It's Alright,Memphis Bleek (& Jay-Z),spotify:track:1SKhE8yTMuGrTLte0os673,0.603,0.839,10,"-8,94",0,"0,289","0,0135",0,"0,338","0,763","95,846",241733,4,"50,40737",11,1,6
"It's Alright, It's Ok",Leah Andreone,spotify:track:3VmMPFCqLlbELgN5hne7nu,0.734,0.67,0,"-5,838",0,"0,0321","0,0113","1,25E-06","0,224","0,656","110,022",265133,4,"21,14502",13,1,6
It's Now or Never,Andy Tielman,spotify:track:3BQalxxt7GzUTNBiR8dkLP,0.565,0.401,4,"-14,431",1,"0,0397","0,897","0,00853","0,243","0,511","128,868",185800,4,"36,85327",8,0,6
It's Over Now,Deborah Cox,spotify:track:2iUwgnyYykjFu1f7YikoTX,0.811,0.516,5,"-6,994",0,"0,0734","0,198",0,"0,0994","0,544","120,089",260093,4,"48,30793",10,1,6
Jack Introduces Don't Think Twice,Ramblin' Jack Elliott,spotify:track:2DKaYaAYW957D5zZ7WwLX3,0.567,0.0638,0,"-27,025",0,"0,897","0,706",0,"0,497","0,54","87,712",108867,4,"59,29921",5,0,6
Jalou's Rock - Live,Les Rats,spotify:track:3GITpHGNLMyHEcOaBM1sza,0.285,0.942,4,"-7,224",0,"0,0828","0,00086","0,258","0,24","0,558","163,334",143973,4,"30,64777",10,0,6
James Brown Is Dead,L.A. Style,spotify:track:5EEsZl9wCWtPHXoi9I9PY7,0.599,0.976,0,"-7,649",0,"0,0859","0,0013","0,787","0,383","0,501","130,724",344400,4,"23,272",8,1,6
Jazz Trash,Ellery Eskelin,spotify:track:2f9ajqHBH5YLBwMnN97LFc,0.5,0.342,4,"-17,526",0,"0,432","0,683","0,0496","0,0937","0,382","79,11",446533,3,"92,62241",18,0,6
Jazzy Belle,OutKast,spotify:track:6w4MlvpuxtbjGdL9YeTx89,0.878,0.651,11,"-8,074",0,"0,252","0,0178",0,"0,0408","0,102","92,028",251667,4,"26,24362",6,1,6
Jealousy,Natalie Merchant,spotify:track:3qcVyKUKAOfBoQJsxHfhmW,0.723,0.521,0,"-9,78",1,"0,028","0,296","0,0406","0,0998","0,61","101,127",161533,4,"70,31656",6,1,6
"Jeeps, Lex Coups, Bimaz & Benz",Lost Boyz,spotify:track:02nH7HXbs3i9kdWef9or8E,0.562,0.652,1,"-9,253",0,"0,426","0,0103",0,"0,557","0,545","177,987",272467,4,"35,4916",12,1,6
Jerusalem's Ridge,Jeff Autry,spotify:track:70exPpnHKfy4W0nPjeiAI1,0.541,0.678,9,"-9,548",0,"0,031","0,84","0,603","0,14","0,711","126,062",280293,4,"24,01529",11,0,6
John Barleycorn,Kenny Baker,spotify:track:1UgfiXJCWaWuoillaX3fFp,0.607,0.474,7,"-12,475",1,"0,124","0,65",0,"0,956","0,946","133,899",133253,4,"42,48188",6,0,6
John Jacob Jingleheimer Schmidt,Music For Little People Choir,spotify:track:5qJL8qRMjEnlQwIxt2g24M,0.66,0.297,2,"-14,859",1,"0,118","0,56","3,42E-06","0,178","0,96","138,422",108507,4,"23,77179",7,0,6
Judy Is a Punk,Huntingtons,spotify:track:308S71Nfg33QocucjSRsFq,0.341,0.964,10,"-3,723",0,"0,0875","0,171",0,"0,312","0,68","110,857",75418,4,"43,7526",4,0,6
Julia,Nobuo Uematsu,spotify:track:7xpzXnbxwFIIm9Fd2yg6Ce,0.42,0.0961,4,"-19,877",1,"0,097","0,993","0,903","0,14","0,582","79,654",83067,4,0,2,0,6
Jump Around,House Of Pain,spotify:track:3TZwjdclvWt7iPJUnMpgcs,0.854,0.71,4,"-6,32",0,"0,0793","0,0113","8,72E-05","0,166","0,818","106,894",214947,4,"25,35735",9,1,6
Jump Jive An' Wail,The Brian Setzer Orchestra,spotify:track:7FuRjlwyTY9uTAUgGpZtJU,0.638,0.811,8,"-5,43",1,"0,117","0,0311",0,"0,144","0,915","101,154",172933,4,"91,42029",7,1,6
Jump Man,Buckethead,spotify:track:2QwyfRiONW3O4Sp7O5XlEk,0.187,0.941,11,"-9,103",0,"0,0798","0,00636","0,601","0,458","0,274","189,189",261960,4,"52,78916",10,0,6
Jump On It,Sir Mix-A-Lot,spotify:track:3G1lmq2hDoJZlemVcJNFK0,0.908,0.938,2,"-5,682",1,"0,201","0,0691",0,"0,799","0,751","113,974",300533,4,"24,01126",9,1,6
Just Another Day,Jon Secada,spotify:track:5AoBNJQDXXEnIJGjJjZu3y,0.717,0.642,1,"-10,727",1,"0,0287","0,0194","0,000249","0,043","0,732","105,894",327427,4,"47,18748",14,1,6
Just Ideas - Instrumental,John McLaughlin,spotify:track:1wTSDiqaUwFLVMB5pOinSn,0.194,0.0486,4,"-24,523",1,"0,0394","0,846","0,82","0,19","0,0387","125,661",110333,5,"66,29829",4,0,6
Kalinka,Limpopo,spotify:track:35Q0piq5ACqGsiGyatdjge,0.452,0.715,4,"-8,245",0,"0,0969","0,78",0,"0,0681","0,866","120,445",90600,4,"22,89757",6,0,6
Kasalèfkut Hulu (From All the Time I Have Passed),Mulatu Astatke,spotify:track:0AXK0hFEATVwmAqcTQ11FX,0.583,0.365,6,"-10,955",1,"0,0411","0,977","0,886","0,105","0,444","120,929",165640,4,"50,78255",7,0,6
Kashmir,Silent Stream of Godless Elegy,spotify:track:2K4oxj7C96xMhnc8Ew2bb1,0.52,0.822,2,"-5,236",1,"0,0324","0,00506","0,00505","0,155","0,594","80,706",323013,3,"71,15391",13,0,6
Katmandu,Béla Fleck,spotify:track:7DlaaNwxmS99iypST4bTS0,0.39,0.42,2,"-14,153",0,"0,0363","0,955","0,942","0,127","0,622","175,881",263800,4,"22,3087",13,0,6
Keep It Together,Madonna,spotify:track:04tSWZo4MLebMbf7RwSmyE,0.719,0.819,7,"-10,579",0,"0,0448","0,231","0,0222","0,0808","0,794","103,078",303200,4,"24,71708",15,1,6
Keep The Faith,Bon Jovi,spotify:track:5EWtBjCLy21d1hY9zdaEe8,0.569,0.968,5,"-3,72",0,"0,0487","0,00108","0,00153","0,0814","0,568","117,783",346533,4,"97,80742",9,1,6
Key West Intermezzo (I Saw You First),John Mellencamp,spotify:track:43bvQNBz3LPzTxEgPSs9qQ,0.673,0.859,11,"-6,511",1,"0,0271","0,00497","1,92E-05","0,274","0,959","116,477",294293,4,"32,1454",9,1,6
Khazad Dum,Summoning,spotify:track:5Y1Erj9A1S3LF4zmHgehEM,0.551,0.883,3,"-8,144",0,"0,0555","0,145","0,694","0,0773","0,114","110,031",657693,4,"68,32525",14,0,6
Kickin' the Can,Parachute Express,spotify:track:643QEhYNnc5pk7x4TIJUGX,0.676,0.238,7,"-17,598",1,"0,0318","0,531","0,000838","0,338","0,921","95,887",143560,4,"59,33117",7,0,6
Killer/Papa Was A Rollin' Stone,George Michael,spotify:track:3EMwCbvaeyWVZb3ae0roHt,0.714,0.976,10,"-7,349",0,"0,0548","0,0284","0,00695","0,756","0,577","121,89",255373,4,"128,25175",6,1,6
Kimini Mune Kyun - Uwaki Na Vacance,YELLOW MAGIC ORCHESTRA,spotify:track:67rAdAV6rFzKPZTSh6WL1t,0.623,0.942,7,"-5,454",1,"0,0443","0,317","5,85E-06","0,338","0,829","142,43",248427,4,"45,63481",11,0,6
Kind Folk,Kenny Wheeler,spotify:track:6CXfNVAbK2UEdwGhWzThrF,0.488,0.0872,9,"-16,779",0,"0,0388","0,959","0,921","0,109","0,306","117,348",516400,3,"32,97797",24,0,6
Kindred Spirits,Liquid Tension Experiment,spotify:track:50BSlZ4EQUeOdDLXuSbuBX,0.285,0.963,9,"-3,137",1,"0,0645","0,00212","0,753","0,688","0,48","128,627",389600,4,"28,71281",12,0,6
King Darius Suite,VeggieTales,spotify:track:0Qqschhs4Szs4SVSCuE5MM,0.64,0.361,3,"-10,099",1,"0,253","0,794",0,"0,104","0,613","139,457",131227,4,"56,23845",5,0,6
Kingdom,Kickback,spotify:track:1RbCsofGtNidlcI32X2Q8Z,0.419,0.926,6,"-6,625",0,"0,0715","8,1E-06","0,00145","0,0617","0,434","95,26",193933,4,"23,2959",9,0,6
Kiss Of Life,Sade,spotify:track:5bNxRtWEEUu3myoEYL9687,0.724,0.472,6,"-11,298",0,"0,0279","0,631","0,0374","0,0968","0,779","97,11",251333,4,"45,10193",11,1,6
Kiss of the Vampire,Half Japanese,spotify:track:0sGfWKI3TgNfhPF4DcBMYB,0.248,0.991,2,"-4,659",1,"0,149","0,000642","0,217","0,306","0,158","136,983",192787,4,"61,47835",9,0,6
Kiss Them For Me,Siouxsie and the Banshees,spotify:track:3rW0ATGLT6kOUtfsIKygyI,0.6,0.949,7,"-5,473",0,"0,0556","0,187","0,00539","0,105","0,752","99,387",277147,4,"29,65001",11,0,6
Knockin' Boots,Candyman,spotify:track:4bvqOj9QiH6qKecLiefKst,0.94,0.662,7,"-8,786",1,"0,292","0,0954",0,"0,376","0,657","101,403",233027,4,"51,72619",12,1,6
L.A. Song,Beth Hart,spotify:track:69pBTbnLue0leYUCMAFqPj,0.351,0.615,7,"-7,621",1,"0,0451","0,206",0,"0,985","0,337","127,798",271107,3,"58,57055",10,1,6
La chanson des défenseurs de Moscou,The Red Army Choir,spotify:track:4FyNAqZAZ0bMpd36Y4g5dR,0.573,0.783,7,"-5,139",0,"0,0481","0,953","0,00147","0,0531","0,574","109,34",192573,4,"31,46104",10,0,6
La mort de P.B.S,Ozymandias,spotify:track:0MlT8tq1DC06eMA8qOg1gx,0.363,0.0739,0,"-20,067",0,"0,0525","0,994","0,904","0,106","0,0386","182,613",226827,3,"37,14052",8,0,6
Last Goodbye,Kenny Wayne Shepherd,spotify:track:2j9xf567RovYfYPmfDWgvG,0.461,0.695,7,"-7,662",1,"0,0282","0,0275",0,"0,151","0,371","149,346",273600,4,"41,53611",8,0,6
Last Kiss,Pearl Jam,spotify:track:0QnONzv3TvHAWk294h6DaQ,0.622,0.692,7,"-6,97",1,"0,0276","0,363","0,000158","0,193","0,774","112,053",195467,4,"62,63883",8,1,6
Lately,Tyrese,spotify:track:0XmTCQWHgf6dOXJeLjXrzr,0.541,0.701,7,"-7,287",0,"0,102","0,0761",0,"0,0763","0,334","80,057",266533,4,"26,69432",11,1,6
Latin Quarter,Caribbean Jazz Project,spotify:track:5JK8AxG8ElQSAQh7TTr5Vt,0.628,0.741,0,"-9,708",1,"0,0307","0,468","0,384","0,0996","0,628","110,054",299200,4,"79,60958",11,0,6
Leavin',The Tony Rich Project,spotify:track:1qIDLkxvnYpSrLSwiMaEXJ,0.678,0.406,2,"-11,528",1,"0,0436","0,0968",0,"0,0607","0,503","168,053",224000,4,"40,85746",11,1,6
Left Hand Path,Entombed,spotify:track:5faD0zZ9fMa3J5ZN3lIWtp,0.166,0.927,7,"-8,797",1,"0,0736","3,94E-06","0,651","0,344","0,219","131,984",399093,4,"45,05498",12,0,6
Les Anges Dans Nos Campagnes (Noël XIIIe Siècle) Instrumental,Orchestre Symphonique De Québec,spotify:track:7yxPB261nfpETW61ngDiGw,0.229,0.0786,5,"-21,253",1,"0,0408","0,979","0,926","0,174","0,185","109,893",153112,4,"16,27831",9,0,6
Les yeux ouverts,Enzo Enzo,spotify:track:6BJltRcIxqomZ5X77zfwCe,0.689,0.152,5,"-20,299",1,"0,0308","0,834","1,8E-06","0,0952","0,202","89,1",208200,4,"29,94393",11,0,6
Let It Snow,Oscar Peterson,spotify:track:6pctt0uFOGc7NxJvzwIv1x,0.451,0.219,0,"-19,671",1,"0,0377","0,894","0,522","0,0996","0,469","144,206",220133,4,"26,65837",9,0,6
